monitoringSiteIdentifier,eeaIndicator,phenomenonTimeReferenceYear,resultMeanValue,resultNumberOfSamples
EL04120401,Nitrite,2007,0.05,4
BG3MA09211MS1370,Nitrate,2007,0.852035,6
ATPG54100342,Nitrate,2007,22.55,1
FRGR04015300,BOD5,2007,1.51667,12
EL05010508,Nitrate,2007,1.625,4
RO43600,Nitrite,2007,0.027,12
IT08MO59-00,Nitrite,2007,0.03,2
IT0100121700901,Nitrate,2007,11.7,1
FRGR04146600,Total phosphorus,2007,0.053889,9
FISW_41,Secchi depth,2007,3.5,1
FRHR03039000,Nitrate,2007,5.649155,12
SIP38240,Phosphate,2007,0.01,2
FRDR06177980,Chlorophyll a,2007,0.8975,4
IT12L4_29,Chlorophyll a,2007,1.45,10
IT10AVT15,Ammonium,2007,0.05,2
ITI027TG11,Phosphate,2007,0.032778,12
EL09060904,Nitrite,2007,0.05,1
EL09110901,Nitrate,2007,9.466667,3
FRDR06045750,Phosphate,2007,0.014412,6
ATFW61400287,Nitrate,2007,1.834246,12
FRGR04175100,Nitrite,2007,0.021051,12
FRDR06468000,Phosphate,2007,0.013596,6
FRDR06150795,Phosphate,2007,0.004623,6
SKS001094,Ammonium,2007,0.1,1
DEGM_DEBW_133-254-6,Nitrite,2007,0.01,3
FRDR06580766,BOD5,2007,1.59167,6
ATPG53100062,Nitrite,2007,0.006,1
IT05GW654,Nitrite,2007,0.01,2
FRGR04045900,Nitrate,2007,1.889329,12
FRBSS001WDRG,Ammonium,2007,0.01,2
IT08MO08-00,Ammonium,2007,13.32,2
FRDR06113000,Nitrite,2007,0.018768,6
FRDR06580184,Phosphate,2007,0.027737,6
RSRW00001,Ammonium,2007,0.098339,22
FRBSS001AQRE,Nitrite,2007,0.02,2
FRGR04124875,Ammonium,2007,0.117566,12
BG3G00PRQPHMP009,Ammonium,2007,0.03,4
IT09S0189,Nitrate,2007,15.0,1
NO026-41194,Ammonium,2007,0.014225,3
ES014ESPF14-RW-08-020,BOD5,2007,1.3342,12
IT05217,Phosphate,2007,0.032,12
FRBSS000WQUR,Nitrite,2007,0.02,6
FRBSS001NLEZ,Nitrate,2007,65.8,2
BG1OS00715MS050,Phosphate,2007,0.162,6
FRHR03254370,Phosphate,2007,0.057105,12
IT13SA3P,Nitrite,2007,0.04,2
FRGR04123800,Total phosphorus,2007,0.066667,12
CZPP0049,Nitrate,2007,14.1,2
SKS000321,Nitrite,2007,0.01,1
FRFR05090000,Nitrate,2007,2.150899,12
FRHR03175000,Nitrate,2007,5.075211,12
FRBSS001CQJZ,Nitrate,2007,36.65,2
IT09S1211,BOD5,2007,0.808,13
FRBSS000XWRQ,Nitrate,2007,41.6,3
IT03POADSALN1LO1,Total phosphorus,2007,0.1025,8
FRBSS000TEDG,Ammonium,2007,0.05,2
IT03N0080566IR1,Total phosphorus,2007,0.221538,12
IT08BO61-00,Nitrite,2007,0.03,2
IT08RA67-01,Ammonium,2007,9.955,2
FRDR06175600,Ammonium,2007,0.019432,6
FRGR04128490,BOD5,2007,2.09167,12
FRBSS001PWAR,Ammonium,2007,0.05,2
FRBSS002EQQM,Nitrate,2007,1.6,7
FRCR02081000,Total phosphorus,2007,0.305833,12
LV902A8_24551,Nitrite,2007,0.001,1
ATSE20201000,Ammonium,2007,0.129532,4
FRHR03023000,BOD5,2007,1.51667,12
FRGR04196449,Ammonium,2007,0.042103,12
IT2114010,Nitrate,2007,9.0,2
IT08FE48-00,Ammonium,2007,14.13,2
CZVB9803,Ammonium,2007,0.01,2
FRBSS002MQKV,Nitrate,2007,29.59,5
IT05363,Secchi depth,2007,4.7,2
FRDR06198100,Chlorophyll a,2007,3.13333,6
SE615375-137087,Nitrate,2007,0.832,4
SE662709-160136,Ammonium,2007,0.020987,6
SKP002357,Nitrite,2007,0.01,1
IT13R1301VB2TER,Nitrate,2007,5.858574,12
FRBSS000JBHY,Nitrite,2007,0.01,2
FRBSS001PJNW,Ammonium,2007,0.05,10
RSLW00067,Phosphate,2007,0.0134,3
IT05193,Total phosphorus,2007,0.125,12
IT11I0286TR,Total phosphorus,2007,0.191667,12
FRFR05099000,Total organic carbon (TOC),2007,2.49167,12
FRGR04029625,Nitrate,2007,1.386888,12
FRAR01140500,BOD5,2007,1.49167,12
FRFR05148000,Nitrate,2007,0.893854,12
EL01010110,Nitrate,2007,13.95,4
FRBSS002CQYD,Nitrate,2007,0.862,5
SKS726593,Nitrite,2007,0.01,4
EL13051306,Ammonium,2007,0.1,4
FRDR06066000,Nitrate,2007,0.677447,6
FRGR04072150,Chlorophyll a,2007,4.29125,8
LVV0270200,Total phosphorus,2007,0.0585,12
CZVO0054,Nitrite,2007,0.005,2
IT12F415,Phosphate,2007,0.358333,12
CZVP7225,Ammonium,2007,0.3015,2
FRHR03013660,Ammonium,2007,0.048581,12
IT0100213100003,Nitrate,2007,1.35,2
FRGR04010130,Chlorophyll a,2007,1.7725,8
FRDR06143950,Nitrate,2007,0.395177,6
IT0100201110001,Nitrite,2007,0.01,2
PL01S1101_1521,BOD5,2007,4.8,12
IT09S1224,Ammonium,2007,0.007775,2
IT08RA67-01,Nitrite,2007,0.03,2
FRBSS002NTCT,Ammonium,2007,0.1,1
FRCR02070250,Total organic carbon (TOC),2007,4.2,6
HR10017,Total organic carbon (TOC),2007,1.9842,12
FISW_757,Phosphate,2007,0.0028,4
IT08MO68-01,Ammonium,2007,0.05,2
BG2G000000QMP008,Ammonium,2007,0.28475,4
PL01S1101_1537,Nitrate,2007,1.077045,12
EL03050304,Nitrate,2007,12.4,1
DEGM_DEBY_1131593100020,Nitrite,2007,0.02,1
SKIDK233,Nitrite,2007,0.050417,12
IT0100406700002,Ammonium,2007,0.04,2
FRFR05114000,Nitrate,2007,4.727077,12
PT365T470,Ammonium,2007,0.24,1
FRBSS001VEAV,Nitrate,2007,2.3,1
EL13021310,Nitrate,2007,2.4,3
SE700773-157350,Total phosphorus,2007,0.005,12
FRBSS000MMXR,Nitrate,2007,0.94,5
CZVP0901,Ammonium,2007,0.275,2
ATPG30600022,Nitrite,2007,0.002875,1
RSRW00003,Total organic carbon (TOC),2007,2.25,2
PL08S0301_0139,Nitrate,2007,2.562107,12
BG1RL00001MS020,Phosphate,2007,1.064,10
ITCS191080025,BOD5,2007,1.34545,11
IT12F3_20,Total phosphorus,2007,0.11625,12
IEMRRS12C030200,BOD5,2007,1.03333,9
FRDR06018200,BOD5,2007,1.23333,6
BEVL_VMM_221000,Ammonium,2007,1.531548,12
ES050ESPF10105,BOD5,2007,2.747,12
FISW_719,Nitrate,2007,0.191,4
IT0100205910001,Nitrite,2007,0.01,2
FRBSS001TMNT,Nitrate,2007,6.075,8
FRBSS001KSGE,Ammonium,2007,0.05,2
LVD4060100,Ammonium,2007,0.04827,12
CZPOD_1144,Ammonium,2007,0.253243,12
FRBSS000HSWW,Nitrate,2007,38.933333,6
CYR9-2-3-85,Nitrate,2007,1.483472,3
FRGR04016840,Ammonium,2007,0.042427,12
CZPP0744,Nitrite,2007,0.005,2
FRGR04127000,BOD5,2007,2.575,12
DEGM_DERP_2714215300,Nitrite,2007,0.01,2
ES091R0418,Nitrite,2007,0.003,12
FRDR06149900,Nitrite,2007,0.003043,6
ATPG32100342,Ammonium,2007,0.01,1
IT09S1204,BOD5,2007,5.0,12
ES091R0733,Nitrite,2007,0.0066,12
ES050ESPF51100,BOD5,2007,0.4,12
ITCS191080025,Total phosphorus,2007,0.179545,11
ES030ESPFTA56301003,Phosphate,2007,0.1685,12
BEVL_VMM_768000,Nitrate,2007,5.708537,12
FRHR03144945,BOD5,2007,1.35455,11
FRHR03076000,Ammonium,2007,0.194648,12
RSGW00045,Nitrate,2007,0.03,1
IT09S1233,BOD5,2007,2.2157,7
CZPP0056,Ammonium,2007,0.01,2
FRBSS000XMVZ,Nitrite,2007,0.01,2
FRHR03167000,Chlorophyll a,2007,1.32875,8
FRGR04040800,Chlorophyll a,2007,1.1825,8
FRGR04171670,Nitrite,2007,0.01192,12
FRHR03024245,Ammonium,2007,0.02591,12
FRFR05120000,Total phosphorus,2007,0.142083,12
ES050ESPF10502,Nitrate,2007,2.87512,12
FRBSS001WCXD,Ammonium,2007,0.01,2
ES050ESPF20602,BOD5,2007,1.094,12
EL07190703,Nitrate,2007,26.866667,3
SKP229199,Nitrate,2007,1.26,1
RSLW00026,Secchi depth,2007,2.0,1
LVL1430100,Total phosphorus,2007,0.1613,4
BG1YN00079MS200,BOD5,2007,3.8,4
NO021-41609,Total organic carbon (TOC),2007,2.55,2
ATPG90300012,Nitrate,2007,34.275,1
