monitoringSiteIdentifier,eeaIndicator,phenomenonTimeReferenceYear,resultMeanValue,resultNumberOfSamples
CZPVL_1088,Chlorophyll a,2009,15.2,12
BG3MA09211MS1370,Nitrate,2009,0.498021,8
ATPG54100342,Nitrate,2009,30.5,1
FRGR04015300,BOD5,2009,1.2625,12
RO43600,Nitrite,2009,0.036,12
FRGR04146600,Total phosphorus,2009,0.244727,11
FRHR03039000,Nitrate,2009,4.456095,24
SIP38240,Phosphate,2009,0.005,2
RSLW00042,Nitrite,2009,0.003,1
FRDR06045750,Phosphate,2009,0.0155,6
ATFW61400287,Nitrate,2009,2.006753,12
FRGR04175100,Nitrite,2009,0.020544,12
ES063ESPFAA0000810,Nitrite,2009,0.162001,4
FRDR06468000,Phosphate,2009,0.022788,6
ES030ESPFTA57311002,Nitrate,2009,0.4008,12
FRDR06150795,Phosphate,2009,0.005384,6
SKS001094,Ammonium,2009,0.08,1
DEGM_DEBW_133-254-6,Nitrite,2009,0.01,2
FRDR06580766,BOD5,2009,1.49167,6
ES091E1022,Ammonium,2009,0.006496,1
ATPG53100062,Nitrite,2009,0.006,1
FRGR04045900,Nitrate,2009,1.595766,12
FRBSS001WDRG,Ammonium,2009,0.01,2
CZPO3501,Ammonium,2009,0.05,2
LTGWM426_12641,Ammonium,2009,0.05,1
LTL441,Phosphate,2009,0.0042,4
FRDR06580184,Phosphate,2009,0.010007,6
RSRW00001,Ammonium,2009,0.079051,11
FRBSS001AQRE,Nitrite,2009,0.02,9
PLGW6000110_004,Nitrite,2009,0.01,1
CZPLA_23,Dissolved organic carbon (DOC),2009,4.70833,12
FRGR04124875,Ammonium,2009,0.097162,12
DEGM_DENI_500000009,Ammonium,2009,0.0644,2
BG3G00PRQPHMP009,Ammonium,2009,0.1025,4
NO026-41194,Ammonium,2009,0.015863,3
DEGM_DENW_080300364,Ammonium,2009,0.26,1
ES014ESPF14-RW-08-020,BOD5,2009,1.0869,18
IT05217,Phosphate,2009,0.0269,24
FRBSS000WQUR,Nitrite,2009,0.02,1
FRBSS001NLEZ,Nitrate,2009,64.7,5
ES091E0076,Total phosphorus,2009,0.0089,1
FRHR03254370,Phosphate,2009,0.04098,12
ES100ESPF140003000,Ammonium,2009,0.098739,11
FRGR04123800,Total phosphorus,2009,0.108333,12
CZPP0049,Nitrate,2009,13.2,2
SKS000321,Nitrite,2009,0.005,2
FRFR05090000,Nitrate,2009,2.234633,12
FRHR03175000,Nitrate,2009,5.04887,12
ES030ESPFTA53405005,Total phosphorus,2009,0.31,1
FRBSS001CQJZ,Nitrate,2009,33.088889,9
DEGM_DENI_100000670,Nitrite,2009,0.0657,1
ES020ESPF004300037,Total phosphorus,2009,0.0212,4
ES050ESPF30203,Phosphate,2009,0.1934,4
FRBSS000XWRQ,Nitrate,2009,32.95,6
FRBSS000TEDG,Ammonium,2009,0.05,5
PLGW600079_002,Ammonium,2009,0.12,1
CZVP7026,Nitrite,2009,0.0032,2
FRDR06175600,Ammonium,2009,0.042103,6
FRGR04128490,BOD5,2009,1.57273,11
FRBSS001PWAR,Ammonium,2009,0.05,5
FRBSS002EQQM,Nitrate,2009,1.275,8
FRCR02081000,Total phosphorus,2009,0.274167,12
LV902A8_24551,Nitrite,2009,0.0013,1
BERWM023_5917005,Total organic carbon (TOC),2009,0.45,2
ATSE20201000,Ammonium,2009,0.005922,4
FRHR03023000,BOD5,2009,1.4125,12
FRGR04196449,Ammonium,2009,0.064775,12
CZVB9803,Ammonium,2009,0.04,2
FRBSS002MQKV,Nitrate,2009,29.775,4
IT05363,Secchi depth,2009,4.75,2
FRDR06198100,Chlorophyll a,2009,1.5,4
SE615375-137087,Nitrate,2009,0.263,4
SE662709-160136,Ammonium,2009,0.012992,7
SKP002357,Nitrite,2009,0.005,4
ES100ESPF110021000,Total organic carbon (TOC),2009,3.625,4
FRBSS000JBHY,Nitrite,2009,0.02,4
FRBSS001PJNW,Ammonium,2009,0.05,10
RSLW00067,Phosphate,2009,0.009,1
IT05193,Total phosphorus,2009,0.1117,12
IEMRRS36A021400,Ammonium,2009,0.058364,15
ES060ESPFMA101,Phosphate,2009,0.1011,1
IEMRRS01M010100,Phosphate,2009,0.0104,12
ES080ESPFES080-JU285,Nitrate,2009,3.230534,1
FRFR05099000,Total organic carbon (TOC),2009,2.55833,12
FRGR04029625,Nitrate,2009,1.166719,12
FRAR01140500,BOD5,2009,1.575,12
FRFR05148000,Nitrate,2009,1.071305,12
FRBSS002CQYD,Nitrate,2009,1.0,6
SKS726593,Nitrite,2009,0.006875,4
LVV0270200,Total phosphorus,2009,0.06,4
CZVO0054,Nitrite,2009,0.03125,2
FRGR04072150,Chlorophyll a,2009,1.65625,8
IT12F415,Phosphate,2009,1.785,12
FRHR03013660,Ammonium,2009,0.120156,12
CZVP7225,Ammonium,2009,0.305,2
FRGR04010130,Chlorophyll a,2009,2.6875,8
FRDR06143950,Nitrate,2009,0.308615,6
PL01S1101_1521,BOD5,2009,3.5625,16
DESM_BWU44,Nitrate,2009,4.357871,26
FRFR05225300,Total phosphorus,2009,0.04,6
BERW_04800,BOD5,2009,2.0,13
DESM_DEST_2110020_A,Ammonium,2009,0.062403,12
FRBSS001SVSS,Ammonium,2009,0.05,2
FRCR02070250,Total organic carbon (TOC),2009,3.81667,12
HR10017,Total organic carbon (TOC),2009,2.7,13
FISW_757,Phosphate,2009,0.0015,4
BG2G000000QMP008,Ammonium,2009,0.379333,3
IT06PN045,Nitrate,2009,7.530313,1
ES100ESPF060001000,Total organic carbon (TOC),2009,3.1,4
ES091R0573,Ammonium,2009,0.138314,2
DEGM_DEBY_1131593100020,Nitrite,2009,0.02,1
SKIDK233,Nitrite,2009,0.037075,12
PT365T470,Ammonium,2009,0.13,2
BEVL_VMM_253000,Phosphate,2009,0.0664,24
FRBSS001VEAV,Nitrate,2009,2.55,2
IT06UD068,Nitrite,2009,0.02085,2
SE700773-157350,Total phosphorus,2009,0.007,12
ES091E0055,Nitrate,2009,0.070003,1
FRBSS000MMXR,Nitrate,2009,2.5,3
ES070ESPFETL1,Chlorophyll a,2009,2.4,2
CZVP0901,Ammonium,2009,0.29,2
ATPG30600022,Nitrite,2009,0.002,1
ES030ESPFTA68208002,BOD5,2009,0.3333,4
RSRW00003,Total organic carbon (TOC),2009,3.0444,9
PL08S0301_0139,Nitrate,2009,1.801715,4
DESM_BB_NE_0040,Total organic carbon (TOC),2009,4.93846,13
FRFR05011600,Phosphate,2009,0.075868,6
IT12F3_20,Total phosphorus,2009,0.023091,11
IEMRRS12C030200,BOD5,2009,0.7808,13
FRDR06018200,BOD5,2009,0.941667,6
PLGW200044_002,Ammonium,2009,0.62,1
BEVL_VMM_221000,Ammonium,2009,1.509062,12
FISW_719,Nitrate,2009,0.221,4
FRBSS001TMNT,Nitrate,2009,5.275,8
CZVP1936,Nitrite,2009,0.005,2
ATSE60301000,Phosphate,2009,0.001984,4
FRBSS001KSGE,Ammonium,2009,0.05,4
LVD4060100,Ammonium,2009,0.059963,5
CZPOD_1144,Ammonium,2009,0.157503,6
FRBSS000HSWW,Nitrate,2009,40.95,6
CYR9-2-3-85,Nitrate,2009,1.792145,7
FRGR04016840,Ammonium,2009,0.091008,12
CZPP0744,Nitrite,2009,0.005,2
FRGR04127000,BOD5,2009,2.19167,12
ES060ESPFMA041,Total organic carbon (TOC),2009,2.15,2
DEGM_DERP_2714215300,Nitrite,2009,0.01,2
FRDR06149900,Nitrite,2009,0.003043,6
ATPG32100342,Ammonium,2009,0.0245,1
ES050ESPF41413,Total phosphorus,2009,0.545,4
FRDR06138150,Nitrite,2009,0.003043,6
ES030ESPFTA56301003,Phosphate,2009,0.0033,4
BEVL_VMM_768000,Nitrate,2009,5.04191,12
FRHR03144945,BOD5,2009,1.8625,12
FRHR03076000,Ammonium,2009,0.144447,12
RSGW00045,Nitrate,2009,0.13,1
IT09S1233,BOD5,2009,0.9167,5
CZPP0056,Ammonium,2009,0.01,2
FRBSS000XMVZ,Nitrite,2009,0.01,5
ES063ESPFAA0000709,Nitrite,2009,0.021,4
FRHR03167000,Chlorophyll a,2009,2.175,8
FRGR04040800,Chlorophyll a,2009,1.875,8
FRGR04171670,Nitrite,2009,0.016232,12
FRHR03024245,Ammonium,2009,0.021052,12
DEGM_DETH_5437000083,Nitrate,2009,1.59,1
CZPOH_1037,Total organic carbon (TOC),2009,3.65833,12
ES050ESPF40202,Nitrate,2009,4.422784,4
FRBSS001WCXD,Ammonium,2009,0.01,4
ES050ESPF20602,BOD5,2009,0.4,2
SKP229199,Nitrate,2009,2.33,1
RSLW00026,Secchi depth,2009,3.2,1
FRGLK267510,Total phosphorus,2009,0.535714,7
BG1YN00079MS200,BOD5,2009,2.971,7
NO021-41609,Total organic carbon (TOC),2009,2.7,1
ATPG90300012,Nitrate,2009,23.0,1
FRHR03228690,Nitrite,2009,0.036015,12
RO100100,Total phosphorus,2009,0.019,5
FRFR05233000,Phosphate,2009,0.020123,12
SE711900-175034,Ammonium,2009,0.024984,12
FRBSS001RQXX,Nitrate,2009,0.5,2
ATPG10003042,Nitrate,2009,7.25,1
ATPG41808012,Nitrate,2009,12.0,1
FISW_37,Chlorophyll a,2009,0.5,2
FRFR05014100,Nitrite,2009,0.10145,6
CZPP0580,Ammonium,2009,0.01,2
ES100ESPF100065000,Phosphate,2009,0.0093,7
DEGM_BB_38413470,Nitrate,2009,8.43,2
HR40420,Nitrate,2009,0.278612,14
FRGR04009350,BOD5,2009,1.0625,12
PL07S0801_0071,Total phosphorus,2009,0.035167,12
IEMRRS26S021600,Nitrate,2009,0.2892,12
ATPG32300092,Nitrite,2009,0.002,1
LTGWM367_13235,Nitrate,2009,1.41,1
FRBSS001NUKX,Ammonium,2009,0.05,5
ES030ESPFTA60502004,Phosphate,2009,0.024,12
IT06UD007,Nitrite,2009,0.00295,2
LTGWM125_16,Ammonium,2009,0.4,1
FRGR04033090,Ammonium,2009,0.185255,12
PLGW200047_003,Nitrite,2009,0.15,1
FRDR06710039,Ammonium,2009,0.019432,6
BEBR_IBGE_ZEN025,Phosphate,2009,0.457,10
DEGM_DEBW_600-220-3,Nitrite,2009,0.01,4
SIV2199,BOD5,2009,1.021154,26
SE708619-162132,Secchi depth,2009,1.7,6
ES100ESPF110022000,Phosphate,2009,0.4251,4
CZPLA_8,Ammonium,2009,0.070414,12
ES030ESPFTA46104001,Phosphate,2009,0.0082,4
ES020ESPF004300033,Ammonium,2009,2.921983,9
CYD9-2-5-20,Total phosphorus,2009,0.017857,7
FRDR06710030,Total phosphorus,2009,0.02,6
ES064ESPFAA0000781,Total phosphorus,2009,0.2538,4
PL01S0801_1358,Nitrate,2009,0.339455,12
FISW_947,BOD5,2009,1.422412,4
FISW_486,Ammonium,2009,0.009994,4
ES080ESPFES080-JU111,BOD5,2009,0.875,4
FRHR03128270,Chlorophyll a,2009,2.31875,8
FRBSS000FNPN,Ammonium,2009,0.07025,4
ATPG30800772,Ammonium,2009,0.01075,1
ES030ESPFTA53405001,Ammonium,2009,0.499389,4
BG1G000K1HBMP307,Nitrite,2009,0.003,4
LTR612,Total phosphorus,2009,0.103333,12
DESM_DENI_59872220,Nitrate,2009,3.1268,12
FRBSS001SEGN,Nitrate,2009,4.1,5
PL02S0101_0526,Nitrate,2009,1.45389,12
ES100ESPF060001000,Nitrite,2009,0.0548,4
