monitoringSiteIdentifier,eeaIndicator,phenomenonTimeReferenceYear,resultMeanValue,resultNumberOfSamples
EL04120401,Nitrite,2008,0.05,3
BG3MA09211MS1370,Nitrate,2008,0.840035,1
ATPG54100342,Nitrate,2008,33.8,1
ITR110127GI,BOD5,2008,1.75,12
FRGR04015300,BOD5,2008,0.783333,12
EL05010508,Nitrate,2008,3.666667,3
RO43600,Nitrite,2008,0.03,12
FISW_41,Secchi depth,2008,5.6,2
FRGR04146600,Total phosphorus,2008,0.108833,12
FRBSS000RZYN,Total phosphorus,2008,0.05,2
FRHR03039000,Nitrate,2008,5.175285,11
SIP38240,Phosphate,2008,0.006,2
FRDR06177980,Chlorophyll a,2008,2.25,4
IT12L4_29,Chlorophyll a,2008,1.65,4
FRBSS000SHEX,Total phosphorus,2008,0.02,3
FRBSS001FXPW,Total organic carbon (TOC),2008,0.9,2
EL09110901,Nitrate,2008,2.4,3
FRDR06045750,Phosphate,2008,0.029368,6
FRGR04175100,Nitrite,2008,0.034493,12
FRDR06468000,Phosphate,2008,0.011095,6
ES030ESPFTA57311002,Nitrate,2008,0.348314,12
FRDR06150795,Phosphate,2008,0.003372,6
SKS001094,Ammonium,2008,0.12,1
DEGM_DEBW_133-254-6,Nitrite,2008,0.01,1
FRDR06580766,BOD5,2008,1.35833,6
FRBSS002BQYX,Total phosphorus,2008,0.02,1
ESCHC06_3070,BOD5,2008,1.4166,12
ATPG53100062,Nitrite,2008,0.006,1
FRGR04045900,Nitrate,2008,1.855457,12
FRBSS000EPQL,Total organic carbon (TOC),2008,0.7,2
FRBSS001WDRG,Ammonium,2008,0.01,1
FRFR05218500,Total organic carbon (TOC),2008,0.866667,6
FRDR06113000,Nitrite,2008,0.021812,6
FRDR06580184,Phosphate,2008,0.002991,6
RSRW00001,Ammonium,2008,0.073254,12
FRBSS001AQRE,Nitrite,2008,0.03,1
FRGR04124875,Ammonium,2008,0.037245,12
DEGM_DENI_500000009,Ammonium,2008,0.0644,2
BG3G00PRQPHMP009,Ammonium,2008,0.051,4
NO026-41194,Ammonium,2008,0.016811,3
DEGM_DENW_080300364,Ammonium,2008,1.0965,2
ES014ESPF14-RW-08-020,BOD5,2008,0.9033,15
IT05217,Phosphate,2008,0.026929,24
FRBSS000WQUR,Nitrite,2008,0.02,2
FRBSS001NLEZ,Nitrate,2008,64.375,4
ES091E0076,Total phosphorus,2008,0.0147,1
FRHR03254370,Phosphate,2008,0.052646,6
FRGR04123800,Total phosphorus,2008,0.061583,12
CZPP0049,Nitrate,2008,13.6,2
SKS000321,Nitrite,2008,0.005,2
FRFR05090000,Nitrate,2008,2.16988,11
FRHR03175000,Nitrate,2008,4.520078,6
FRBSS001CQJZ,Nitrate,2008,36.65,2
DEGM_DENI_100000670,Nitrite,2008,0.0657,2
IT09S1211,BOD5,2008,2.5,10
ES050ESPF30203,Phosphate,2008,0.1399,1
FRBSS000XWRQ,Nitrate,2008,33.533333,3
FRBSS000TEDG,Ammonium,2008,0.05,3
PL01S0701_1077,Nitrate,2008,2.040085,10
IT03N0080566IR1,Total phosphorus,2008,0.165417,12
PLGW600079_002,Ammonium,2008,0.135,2
FRBSS000RJGV,Phosphate,2008,0.03,1
CZVP7026,Nitrite,2008,0.01,2
FRDR06175600,Ammonium,2008,0.022671,6
FRGR04128490,BOD5,2008,1.79167,12
FRBSS001PWAR,Ammonium,2008,0.05,3
FRBSS002EQQM,Nitrate,2008,1.45,8
ES030ESPFTA68408001,Ammonium,2008,0.210569,4
FRCR02081000,Total phosphorus,2008,0.333333,12
LV902A8_24551,Nitrite,2008,0.000985,1
BERWM023_5917005,Total organic carbon (TOC),2008,1.25,2
ATSE20201000,Ammonium,2008,0.055982,3
