monitoringSiteIdentifier,eeaIndicator,phenomenonTimeReferenceYear,resultMeanValue,resultNumberOfSamples
EL04120401,Nitrite,2006,0.05,3
BG3MA09211MS1370,Nitrate,2006,1.584066,8
ATPG54100342,Nitrate,2006,31.9,1
FRGR04015300,BOD5,2006,1.53125,8
HU101178472,Ammonium,2006,0.571074,14
EL05010508,Nitrate,2006,1.0,4
RO43600,Nitrite,2006,0.026,4
DEGM_DENW_023061870,Nitrite,2006,0.0656,1
FISW_41,Secchi depth,2006,5.0,1
FRHR03039000,Nitrate,2006,6.753771,12
SIP38240,Phosphate,2006,0.01,2
FRDR06177980,Chlorophyll a,2006,2.59,4
RSLW00042,Nitrite,2006,0.009,1
EL09110901,Nitrate,2006,6.2,1
FRDR06045750,Phosphate,2006,0.007614,6
ATFW61400287,Nitrate,2006,1.903719,11
FRGR04175100,Nitrite,2006,0.021812,12
DEGM_DEBW_133-254-6,Nitrite,2006,0.01,6
ATPG53100062,Nitrite,2006,0.002,1
IT1313SC,Chlorophyll a,2006,7.75,2
EESJA7779000,Nitrate,2006,57.0,1
FRGR04045900,Nitrate,2006,1.808405,12
FRBSS001WDRG,Ammonium,2006,0.03,1
FRDR06113000,Nitrite,2006,0.021812,12
RSRW00001,Ammonium,2006,0.190781,23
DEGM_DENI_500000009,Ammonium,2006,0.06,2
BG3G00PRQPHMP009,Ammonium,2006,0.0475,2
NO026-41194,Ammonium,2006,0.017846,3
DEGM_DENW_080300364,Ammonium,2006,2.967,1
IT05217,Phosphate,2006,0.021652,12
FRBSS001NLEZ,Nitrate,2006,62.2,8
BG1OS00715MS050,Phosphate,2006,0.155,6
FRHR03254370,Phosphate,2006,0.041722,7
SE718284-148654,Secchi depth,2006,3.0,1
FRGR04123800,Total phosphorus,2006,0.067917,12
CZPP0049,Nitrate,2006,13.65,2
FRFR05090000,Nitrate,2006,1.957071,12
DEGM_DENI_100000670,Nitrite,2006,0.03,1
FRHR03175000,Nitrate,2006,4.986767,6
FRBSS001CQJZ,Nitrate,2006,39.2,2
IT03POADSALN1LO1,Total phosphorus,2006,0.112,4
PL01S0701_1077,Nitrate,2006,2.002083,12
HU101179480,Ammonium,2006,0.22486,12
FRDR06175600,Ammonium,2006,0.080968,6
FRBSS002EQQM,Nitrate,2006,2.066667,6
FRCR02081000,Total phosphorus,2006,0.318333,12
LV902A8_24551,Nitrite,2006,0.0006,1
FRHR03023000,BOD5,2006,1.61667,12
PL02S1301_1134,Ammonium,2006,0.366772,12
FRGR04196449,Ammonium,2006,0.033683,12
CZVB9803,Ammonium,2006,0.029,2
FRBSS002MQKV,Nitrate,2006,26.45,4
IT05363,Secchi depth,2006,2.95,2
FRDR06198100,Chlorophyll a,2006,3.895,4
SE615375-137087,Nitrate,2006,0.496,4
SE662709-160136,Ammonium,2006,0.010993,6
FRBSS000JBHY,Nitrite,2006,0.01,2
PL02S1301_1203,Nitrate,2006,1.699071,12
FRBSS001PJNW,Ammonium,2006,0.05,8
RSLW00067,Phosphate,2006,0.0093,3
IT05193,Total phosphorus,2006,0.110833,12
FRAR01140500,BOD5,2006,2.31,10
FRFR05148000,Nitrate,2006,0.989826,6
EL01010110,Nitrate,2006,18.6,3
ATFW52120147,Nitrate,2006,0.587524,12
FRBSS002CQYD,Nitrate,2006,0.6,4
EL13051306,Ammonium,2006,0.1,4
FRDR06066000,Nitrate,2006,0.816701,6
LVV0270200,Total phosphorus,2006,0.067167,12
CZVP7225,Ammonium,2006,0.3165,2
DEGM_DENI_9700294,Nitrite,2006,0.03,1
FRHR03013660,Ammonium,2006,0.023643,12
FRDR06143950,Nitrate,2006,0.494913,12
PL01S1101_1521,BOD5,2006,5.225,12
DESM_BWU44,Nitrate,2006,4.674264,27
DESM_DEST_2110020_A,Ammonium,2006,0.121924,13
DEGM_35396735,Nitrate,2006,0.2,2
FISW_757,Phosphate,2006,0.0018,4
PL01S1101_1537,Nitrate,2006,1.024043,12
BG2G000000QMP008,Ammonium,2006,0.251,2
EL03050304,Nitrate,2006,13.733333,6
DEGM_DEBY_1131593100020,Nitrite,2006,0.02,2
FRFR05114000,Nitrate,2006,4.422224,12
PT365T470,Ammonium,2006,0.03,2
EL14511410,Ammonium,2006,0.1,1
FRBSS001VEAV,Nitrate,2006,2.5,3
RSLW00031,Phosphate,2006,0.0476,3
SE700773-157350,Total phosphorus,2006,0.007,12
FRBSS000MMXR,Nitrate,2006,0.64,5
ATPG30600022,Nitrite,2006,0.01,1
RSRW00003,Total organic carbon (TOC),2006,3.1,6
PL08S0301_0139,Nitrate,2006,1.68407,10
BG1RL00001MS020,Phosphate,2006,0.658,12
HU101178405,Phosphate,2006,0.115182,11
FRDR06018200,BOD5,2006,1.12692,13
BEVL_VMM_221000,Ammonium,2006,1.476582,12
ES050ESPF10105,BOD5,2006,0.583333,12
FISW_719,Nitrate,2006,0.225,4
FRBSS001TMNT,Nitrate,2006,6.15,4
EESJA3486000,Ammonium,2006,0.32,1
LVD4060100,Ammonium,2006,0.083865,12
CZPOD_1144,Ammonium,2006,0.446422,12
FRBSS000HSWW,Nitrate,2006,42.15,6
FRGR04016840,Ammonium,2006,0.039512,12
