monitoringSiteIdentifier,eeaIndicator,phenomenonTimeReferenceYear,resultMeanValue,resultNumberOfSamples
CZPVL_1088,Chlorophyll a,2011,49.66667,12
BG3MA09211MS1370,Nitrate,2011,0.456319,4
ITR110127GI,BOD5,2011,2.16667,9
FRGR04015300,BOD5,2011,2.64167,12
RO43600,Nitrite,2011,0.032166,12
IEMRRS21O070400,Total organic carbon (TOC),2011,5.55889,9
DEGM_DENW_023061870,Nitrite,2011,0.0656,1
CHRW-1912,Total phosphorus,2011,0.033333,12
SIP06302,Nitrite,2011,0.007,2
FISW_41,Secchi depth,2011,5.25,2
FRGR04146600,Total phosphorus,2011,0.138,12
FRHR03039000,Nitrate,2011,4.866332,22
SIP38240,Phosphate,2011,0.006,2
RSLW00042,Nitrite,2011,0.00125,3
CHRW-4070,Phosphate,2011,0.0215,12
FRDR06045750,Phosphate,2011,0.011965,6
ATFW61400287,Nitrate,2011,1.498392,12
FRDR06468000,Phosphate,2011,0.033175,6
FRDR06150795,Phosphate,2011,0.012509,6
SKS001094,Ammonium,2011,0.31,1
IT05606,BOD5,2011,1.125,4
DEGM_DEBW_133-254-6,Nitrite,2011,0.0125,2
FRDR06580766,BOD5,2011,0.7,1
IT06UD178,Phosphate,2011,0.0075,3
ATPG53100062,Nitrite,2011,0.002,1
DESM_DESN_OBF02810,Dissolved organic carbon (DOC),2011,5.82308,26
FRGR04045900,Nitrate,2011,1.612697,12
ITF15CL1,Total phosphorus,2011,0.02,9
FRBSS001WDRG,Ammonium,2011,0.01,2
CZPO3501,Ammonium,2011,0.05,1
LTGWM426_12641,Ammonium,2011,0.27,1
FRDR06580184,Phosphate,2011,0.011693,6
FRBSS001AQRE,Nitrite,2011,0.02,4
PLGW6000110_004,Nitrite,2011,0.01,1
CZPLA_23,Dissolved organic carbon (DOC),2011,3.8,24
FRGR04065000,Dissolved organic carbon (DOC),2011,4.246667,12
FRGR04124875,Ammonium,2011,0.045342,12
RSRW00001,Ammonium,2011,0.046638,12
LTR175,Nitrate,2011,0.921705,12
BG3G00PRQPHMP009,Ammonium,2011,0.45,4
NO026-41194,Ammonium,2011,0.011471,3
DEGM_DENW_080300364,Ammonium,2011,0.2064,1
IT05217,Phosphate,2011,0.0264,12
FRBSS001NLEZ,Nitrate,2011,64.775,4
BG1OS00715MS050,Phosphate,2011,0.14,4
FRHR03254370,Phosphate,2011,0.06556,11
ES100ESPF140003000,Ammonium,2011,0.098339,15
IT05444,Nitrate,2011,2.800116,4
FRGR04123800,Total phosphorus,2011,0.08675,12
CZPP0049,Nitrate,2011,14.3,1
IT05479,Nitrite,2011,0.0409,20
SKS000321,Nitrite,2011,0.015,2
FRFR05090000,Nitrate,2011,1.785634,12
FRHR03175000,Nitrate,2011,4.469096,11
IT0596,Nitrite,2011,0.045,4
FRBSS001CQJZ,Nitrate,2011,31.933333,24
ES020ESPF004300037,Total phosphorus,2011,0.069,2
PL01S0202_2250,Ammonium,2011,0.14441,4
FRBSS000XWRQ,Nitrate,2011,33.644444,9
FRBSS000TEDG,Ammonium,2011,0.05375,4
BERW_04313,BOD5,2011,2.0,13
PLGW600079_002,Ammonium,2011,0.12,1
ES020ESPF004300162,Phosphate,2011,0.5055,2
CZVP7026,Nitrite,2011,0.005,1
FRDR06175600,Ammonium,2011,0.019432,6
FRAR01104000,Dissolved organic carbon (DOC),2011,3.87,12
FRGR04128490,BOD5,2011,3.58333,12
FRBSS001PWAR,Ammonium,2011,0.05,4
FRBSS002EQQM,Nitrate,2011,1.6,8
ITF15AL5,Ammonium,2011,0.054133,12
FRCR02081000,Total phosphorus,2011,0.256667,12
BERWM023_5917005,Total organic carbon (TOC),2011,0.6,2
ATSE20201000,Ammonium,2011,0.00743,4
FRHR03023000,BOD5,2011,1.43182,11
CHRW-3006,Nitrite,2011,0.014259,12
FRFLO56-5003,Ammonium,2011,0.075398,4
IT05112,Nitrate,2011,2.925122,4
PL02S0602_3036,Total phosphorus,2011,0.20025,4
PL01S0601_0994,Total organic carbon (TOC),2011,8.17,10
FRGR04196449,Ammonium,2011,0.040631,11
FRDR06143650,Dissolved organic carbon (DOC),2011,0.283333,6
FRFR05218700,Total phosphorus,2011,0.01,6
CZVB9803,Ammonium,2011,0.05,1
FRBSS002MQKV,Nitrate,2011,32.5,4
NL13_RO017,Chlorophyll a,2011,39.5,6
SE615375-137087,Nitrate,2011,0.536,4
SE662709-160136,Ammonium,2011,0.01599,6
SKP002357,Nitrite,2011,0.005,4
ES010ESPFMS111FQ,Nitrate,2011,3.238035,6
FRBSS001PJNW,Ammonium,2011,0.05,8
RSLW00067,Phosphate,2011,0.018223,3
FRBSS000JBHY,Nitrite,2011,0.02,4
IT05193,Total phosphorus,2011,0.0825,4
IEMRRS36A021400,Ammonium,2011,0.04847,14
IT11I0286TR,Total phosphorus,2011,0.125,12
IT01030001,Nitrite,2011,0.0015,5
ES060ESPFMA101,Phosphate,2011,0.0139,2
IEMRRS01M010100,Phosphate,2011,0.02,11
FRFLP15-5023,Dissolved organic carbon (DOC),2011,2.3825,4
IT06PN073,Phosphate,2011,0.166667,3
FRGR04029625,Nitrate,2011,1.305964,12
FRFR05148000,Nitrate,2011,0.925468,12
FRAR01140500,BOD5,2011,2.13333,12
FRBSS002CQYD,Nitrate,2011,1.0,6
PL01S0701_1219,Total organic carbon (TOC),2011,17.76,12
IT02VRR015,Total phosphorus,2011,0.0219,1
FRDR06066000,Nitrate,2011,0.805409,6
LVV0270200,Total phosphorus,2011,0.087667,3
CZVO0054,Nitrite,2011,0.005,1
FRDR06150500,Dissolved organic carbon (DOC),2011,0.55,6
IT12F415,Phosphate,2011,0.187778,9
DEGM_DENI_9700294,Nitrite,2011,0.0099,2
IESH_G_0225_2600_0007,Total phosphorus,2011,0.019,2
FRHR03013660,Ammonium,2011,0.061212,12
CZVP7225,Ammonium,2011,0.32,1
FRDR06143950,Nitrate,2011,0.191943,6
IEMRRS18F050030,Nitrite,2011,0.02,1
PL01S1101_1521,BOD5,2011,2.925,4
DESM_BWU44,Nitrate,2011,4.234786,26
FRFR05225300,Total phosphorus,2011,0.032333,6
IT05498,Total phosphorus,2011,0.01,2
BERW_04800,BOD5,2011,2.0,13
DESM_DEST_2110020_A,Ammonium,2011,0.054966,12
FRBSS001SVSS,Ammonium,2011,0.05,2
DEGM_35396735,Nitrate,2011,0.44,1
HR10017,Total organic carbon (TOC),2011,2.331,12
BG2G000000QMP008,Ammonium,2011,0.56625,4
IT06PN045,Nitrate,2011,7.146967,3
LTR192,Nitrate,2011,1.9205,12
SKIDK233,Nitrite,2011,0.027117,12
FRFR05114000,Nitrate,2011,2.822697,12
PT365T470,Ammonium,2011,0.05,1
BEVL_VMM_253000,Phosphate,2011,0.0258,12
FRBSS001VEAV,Nitrate,2011,2.4,2
FRCR02005700,Dissolved organic carbon (DOC),2011,1.425,12
RSLW00031,Phosphate,2011,0.0308,3
IT06UD068,Nitrite,2011,0.016888,4
SE700773-157350,Total phosphorus,2011,0.008,12
IT01110050,BOD5,2011,2.0,6
FRBSS000MMXR,Nitrate,2011,1.558571,7
FRFR05232350,Nitrate,2011,5.908846,6
CZVP0901,Ammonium,2011,0.05,1
ATPG30600022,Nitrite,2011,0.029,1
RSRW00003,Total organic carbon (TOC),2011,3.14,10
