monitoringSiteIdentifier,eeaIndicator,phenomenonTimeReferenceYear,resultMeanValue,resultNumberOfSamples
CZPVL_1088,Chlorophyll a,2015,16.59167,12
ATPG20201192,Nitrite,2015,0.0066,1
EL04120401,Nitrite,2015,0.361295,2
IT08FPF-21-00,Ammonium,2015,0.8765,2
SKS000965,Nitrate,2015,1.51,2
ATPG54100342,Nitrate,2015,17.75,2
ATKK40916012,Phosphate,2015,0.004,1
FRGR04015300,BOD5,2015,1.6,6
CZVP7303,Phosphate,2015,0.033592,2
IT08MO59-00,Nitrite,2015,0.03,2
FRFR05225100,Dissolved organic carbon (DOC),2015,3.466667,12
EL0816R000200053N100,Phosphate,2015,8.461424,1
BG2KA00119MS001,Total phosphorus,2015,0.1265,4
FRFLQ1305003,Phosphate,2015,0.003669,4
SIP06302,Nitrite,2015,0.007,2
FRGR04146600,Total phosphorus,2015,0.118167,6
FRHR03039000,Nitrate,2015,5.227098,48
CZPP0872,Phosphate,2015,0.017938,2
SIP38240,Phosphate,2015,0.01,2
EESJA0199000,Nitrite,2015,0.000913,2
FRDR06177980,Chlorophyll a,2015,1.125,4
IT09S1235,Nitrite,2015,0.007612,4
FRBSS000SHEX,Total phosphorus,2015,0.01,1
SKS003143,Nitrate,2015,1.0,2
NL33_2101,Ammonium,2015,0.075405,11
CHRW-4070,Phosphate,2015,0.008,12
ESLEX036,Phosphate,2015,0.077,2
FRBSS001FXPW,Total organic carbon (TOC),2015,1.433333,3
IT10AVT15,Ammonium,2015,5.0,2
EL09060904,Nitrite,2015,1.231688,2
EL09110901,Nitrate,2015,23.83094,3
FRDR06045750,Phosphate,2015,0.019667,12
SKP000674,Nitrite,2015,0.01,4
FRGR04175100,Nitrite,2015,0.009687,11
FRFR05120010,Dissolved organic carbon (DOC),2015,2.494167,12
FRBSS002BMCR,Total organic carbon (TOC),2015,0.43,3
FRDR06468000,Phosphate,2015,0.031333,12
ES030ESPFTA57311002,Nitrate,2015,0.56474,5
FRDR06150795,Phosphate,2015,0.003833,6
IEMLSH_26_750A_0140_OP,Secchi depth,2015,3.025,4
SKS001094,Ammonium,2015,0.34,1
CZVP8313,Dissolved organic carbon (DOC),2015,4.405,2
ITR19IBCS01P13,Nitrite,2015,0.5,3
FRDR06580766,BOD5,2015,0.741667,6
FRBSS002BQYX,Total phosphorus,2015,0.023,3
ATPG53100062,Nitrite,2015,0.002,2
IEMLWE_31_171_0020_OP,Total phosphorus,2015,0.01,6
FRGR04045900,Nitrate,2015,1.371443,24
CZVP7513,Dissolved organic carbon (DOC),2015,0.845,2
FRBSS001RKEH,Phosphate,2015,0.00525,2
IT11AP-07176,Ammonium,2015,0.05,2
FRBSS000YHMS,Total organic carbon (TOC),2015,0.78,4
IT08MO08-00,Ammonium,2015,13.05,2
ESCHC2061,Nitrate,2015,0.749975,1
CZPO3501,Ammonium,2015,0.05,2
LTGWM426_12641,Ammonium,2015,0.28,1
FRDR06113000,Nitrite,2015,0.012178,12
FRDR06580184,Phosphate,2015,0.0135,6
FRBSS001WDRG,Ammonium,2015,0.0125,2
FRBSS001AQRE,Nitrite,2015,0.01,4
ATKK53100442,Nitrate,2015,1.685,2
CZPLA_23,Dissolved organic carbon (DOC),2015,3.81667,12
FRGR04065000,Dissolved organic carbon (DOC),2015,4.041667,12
FRGR04124875,Ammonium,2015,0.050434,6
PL01S1601_1924,BOD5,2015,2.3625,8
RSRW00001,Ammonium,2015,0.028127,12
LTR175,Nitrate,2015,0.925872,12
BG3G00PRQPHMP009,Ammonium,2015,0.1,4
ATPG53100662,Phosphate,2015,0.02,2
NO026-41194,Ammonium,2015,0.01707,4
ITR19MSCS05P07,Ammonium,2015,0.01,4
FRBSS000WQUR,Nitrite,2015,0.01,4
FRBSS001NLEZ,Nitrate,2015,70.2,5
BG1OS00715MS050,Phosphate,2015,0.07825,4
FRHR03254370,Phosphate,2015,0.050917,12
ES100ESPF140003000,Ammonium,2015,0.155183,8
PL02S0102_3336,Secchi depth,2015,3.7,4
ATPG41229012,Nitrite,2015,0.004,2
FRGR04123800,Total phosphorus,2015,0.10075,12
CZPP0049,Nitrate,2015,10.42,2
SKS000321,Nitrite,2015,0.01,2
PL02S1401_2275,Total organic carbon (TOC),2015,3.96,8
FRFR05090000,Nitrate,2015,1.965081,24
FRBSS001MGFD,Phosphate,2015,0.026333,3
FRHR03175000,Nitrate,2015,5.233074,24
LTR1236,Nitrite,2015,0.01025,4
IT13R1304MA16,Total phosphorus,2015,0.0475,4
ES050ESPF30203,Phosphate,2015,0.207,2
NL38_OHERTWE480,Nitrate,2015,0.574717,12
FRBSS000XWRQ,Nitrate,2015,25.833333,3
IT03N0080566IR1,Total phosphorus,2015,0.01,1
BERW_04313,BOD5,2015,1.7,12
IT08BO61-00,Nitrite,2015,0.03,2
PLGW600079_002,Ammonium,2015,0.21,1
FRBSS000TEDG,Ammonium,2015,0.05,3
IEMLWE_33_1889_0010_OP,Chlorophyll a,2015,19.5,4
