monitoringSiteIdentifier,eeaIndicator,phenomenonTimeReferenceYear,resultMeanValue,resultNumberOfSamples
ATPG54100342,Nitrate,2003,28.25,1
ES080ESBT08-140-CA002,Nitrate,2003,115.8,2
FRGR04015300,BOD5,2003,2.3,8
HU101178472,Ammonium,2003,0.456639,26
RO43600,Nitrite,2003,0.054,12
DEGM_DENW_023061870,Nitrite,2003,0.0656,2
FISW_41,Secchi depth,2003,4.7,2
SIP38240,Phosphate,2003,0.005,2
ITI027TG11,Phosphate,2003,0.0625,8
ATFW61400287,Nitrate,2003,1.455061,8
DEGM_DEBW_133-254-6,Nitrite,2003,0.023333,6
ATPG53100062,Nitrite,2003,0.005,1
FRDR06113000,Nitrite,2003,0.027391,10
RSRW00001,Ammonium,2003,0.141579,12
FRBSS001NLEZ,Nitrate,2003,64.05,2
DEGM_DENW_080300364,Ammonium,2003,3.3411,1
BG1OS00715MS050,Phosphate,2003,0.55909,12
CZPP0049,Nitrate,2003,15.0,2
FRBSS001CQJZ,Nitrate,2003,27.78,5
FRBSS000XWRQ,Nitrate,2003,27.7,1
IT03POADSALN1LO1,Total phosphorus,2003,0.089,2
PL01S0701_1077,Nitrate,2003,2.568107,12
HU101179480,Ammonium,2003,0.18216,22
FRBSS002EQQM,Nitrate,2003,1.5,4
FRCR02081000,Total phosphorus,2003,0.335,12
FRHR03023000,BOD5,2003,3.14167,12
PL02S1301_1134,Ammonium,2003,0.989385,24
CZVB9803,Ammonium,2003,0.056,2
SE615375-137087,Nitrate,2003,0.341,4
FRBSS002MQKV,Nitrate,2003,20.8,9
SE662709-160136,Ammonium,2003,0.010993,6
PL02S1301_1203,Nitrate,2003,1.91408,12
FRBSS001PJNW,Ammonium,2003,0.01,2
FRDR06083000,Nitrite,2003,0.059566,7
IT11I0286TR,Total phosphorus,2003,0.126667,6
FRFR05148000,Nitrate,2003,0.880682,6
ATFW52120147,Nitrate,2003,0.48127,12
FRBSS002CQYD,Nitrate,2003,1.0,6
SKS726593,Nitrite,2003,0.01,4
LVV0270200,Total phosphorus,2003,0.078,12
CZVP7225,Ammonium,2003,0.2995,2
FRHR03013660,Ammonium,2003,0.044518,11
FRDR06143950,Nitrate,2003,0.432276,7
PL01S1101_1521,BOD5,2003,5.083,12
DESM_BWU44,Nitrate,2003,4.520568,26
