monitoringSiteIdentifier,eeaIndicator,phenomenonTimeReferenceYear,resultMeanValue,resultNumberOfSamples
CZPVL_1088,Chlorophyll a,2012,41.75,12
IT08FPF-21-00,Ammonium,2012,0.489,2
SKS000965,Nitrate,2012,1.0,2
BG3MA09211MS1370,Nitrate,2012,0.307513,4
ATPG54100342,Nitrate,2012,29.4,1
FRGR04015300,BOD5,2012,1.4125,12
RO43600,Nitrite,2012,0.0584,8
IT08MO59-00,Nitrite,2012,0.03,2
IT0100121700901,Nitrate,2012,12.65,2
DEGM_DENW_023061870,Nitrite,2012,0.0656,1
ITG20_P42,Nitrite,2012,0.184536,4
CHRW-1912,Total phosphorus,2012,0.031,12
SIP06302,Nitrite,2012,0.007,2
FRGR04146600,Total phosphorus,2012,0.1015,12
FRHR03039000,Nitrate,2012,5.655665,22
SIP38240,Phosphate,2012,0.0055,2
ITG20_17PZ026,Ammonium,2012,0.2375,2
PLGW6000143_002,Total organic carbon (TOC),2012,1.0,1
CHRW-4070,Phosphate,2012,0.0045,12
PLGW2000166_003,Total organic carbon (TOC),2012,1.0,1
LVE0450100,Nitrate,2012,0.251677,3
FRDR06045750,Phosphate,2012,0.029912,6
ATFW61400287,Nitrate,2012,1.753403,12
ESCHC2101,Nitrite,2012,0.04776,12
FRDR06468000,Phosphate,2012,0.017947,6
FRDR06150795,Phosphate,2012,0.005982,6
SKS001094,Ammonium,2012,0.83,1
IT05606,BOD5,2012,1.6,4
DEGM_DEBW_133-254-6,Nitrite,2012,0.0125,2
FRDR06580766,BOD5,2012,0.65,5
ATPG53100062,Nitrite,2012,0.002,1
DESM_DESN_OBF02810,Dissolved organic carbon (DOC),2012,5.17083,24
IT05GW654,Nitrite,2012,0.01,2
FRGR04045900,Nitrate,2012,1.469851,11
ESCHC06_3070,BOD5,2012,2.30769,12
FRBSS001WDRG,Ammonium,2012,0.01,1
IT08MO08-00,Ammonium,2012,12.6,2
CZPO3501,Ammonium,2012,0.2015,2
LTGWM426_12641,Ammonium,2012,0.348,1
FRDR06580184,Phosphate,2012,0.011149,6
FRBSS001AQRE,Nitrite,2012,0.0175,2
PLGW6000110_004,Nitrite,2012,0.01,1
CZPLA_23,Dissolved organic carbon (DOC),2012,3.09583,24
FRGR04065000,Dissolved organic carbon (DOC),2012,5.075,12
FRGR04124875,Ammonium,2012,0.03595,12
RSRW00001,Ammonium,2012,0.053603,11
DEGM_DENI_500000009,Ammonium,2012,0.064,2
LTR175,Nitrate,2012,1.156378,12
BG3G00PRQPHMP009,Ammonium,2012,0.20975,4
NO026-41194,Ammonium,2012,0.007591,3
DEGM_DENW_080300364,Ammonium,2012,0.0645,1
