monitoringSiteIdentifier,eeaIndicator,phenomenonTimeReferenceYear,resultMeanValue,resultNumberOfSamples
CZPVL_1088,Chlorophyll a,2010,24.45556,9
BG3MA09211MS1370,Nitrate,2010,0.595425,5
ATPG54100342,Nitrate,2010,23.35,1
ITR110127GI,BOD5,2010,1.14,7
FRGR04015300,BOD5,2010,1.35833,12
RO43600,Nitrite,2010,0.026,12
IEMRRS21O070400,Total organic carbon (TOC),2010,5.16,12
IT0100121700901,Nitrate,2010,12.55,2
DEGM_DENW_023061870,Nitrite,2010,0.0656,1
SIP06302,Nitrite,2010,0.007,2
FRGR04146600,Total phosphorus,2010,0.126833,12
FRHR03039000,Nitrate,2010,4.934565,23
SIP38240,Phosphate,2010,0.0055,2
RSLW00042,Nitrite,2010,0.00367,3
IT12L4_29,Chlorophyll a,2010,1.43333,3
FRDR06045750,Phosphate,2010,0.020177,6
ATFW61400287,Nitrate,2010,1.725902,12
ESCHC2101,Nitrite,2010,0.0506,10
ES063ESPFAA0000810,Nitrite,2010,0.0337,3
FRDR06468000,Phosphate,2010,0.019035,6
ES030ESPFTA57311002,Nitrate,2010,0.454919,12
FRDR06150795,Phosphate,2010,0.004677,6
SKS001094,Ammonium,2010,0.24,1
IT05606,BOD5,2010,2.0,3
DEGM_DEBW_133-254-6,Nitrite,2010,0.01,3
FRDR06580766,BOD5,2010,0.866667,6
IT06UD178,Phosphate,2010,0.0075,1
ESCHC06_3070,BOD5,2010,1.3541,16
ATPG53100062,Nitrite,2010,0.002,1
DESM_DESN_OBF02810,Dissolved organic carbon (DOC),2010,6.172,25
IT05GW654,Nitrite,2010,0.01,2
FRGR04045900,Nitrate,2010,1.832876,12
FRBSS001WDRG,Ammonium,2010,0.01,1
ESCHC2061,Nitrate,2010,0.506021,3
CZPO3501,Ammonium,2010,0.05,2
FRDR06580184,Phosphate,2010,0.010333,6
FRBSS001AQRE,Nitrite,2010,0.0475,4
PLGW6000110_004,Nitrite,2010,0.01,1
LTR175,Nitrate,2010,1.365637,12
CZPLA_23,Dissolved organic carbon (DOC),2010,3.925,24
FRGR04065000,Dissolved organic carbon (DOC),2010,6.31,12
FRGR04124875,Ammonium,2010,0.161936,12
RSRW00001,Ammonium,2010,0.058146,11
DEGM_DENI_500000009,Ammonium,2010,0.064,2
BG3G00PRQPHMP009,Ammonium,2010,0.069,4
NO026-41194,Ammonium,2010,0.015001,3
DEGM_DENW_080300364,Ammonium,2010,0.6321,1
ES014ESPF14-RW-08-020,BOD5,2010,0.5105,6
IT05217,Phosphate,2010,0.0308,12
FRBSS001NLEZ,Nitrate,2010,65.35,4
FRHR03254370,Phosphate,2010,0.051604,7
ES100ESPF140003000,Ammonium,2010,0.105534,19
IT05444,Nitrate,2010,1.747573,4
FRGR04123800,Total phosphorus,2010,0.060833,12
