monitoringSiteIdentifier,eeaIndicator,phenomenonTimeReferenceYear,resultMeanValue,resultNumberOfSamples
ATPG54100342,Nitrate,2000,21.74528,1
FRGR04015300,BOD5,2000,1.8612,12
HU101178472,Ammonium,2000,0.826086,24
FISW_41,Secchi depth,2000,4.55,2
SIP38240,Phosphate,2000,0.02,2
FRDR06177980,Chlorophyll a,2000,2.8945,3
ATFW61400287,Nitrate,2000,1.520063,11
ATPG53100062,Nitrite,2000,0.005,1
FRDR06113000,Nitrite,2000,0.0289,9
RSRW00001,Ammonium,2000,0.084039,11
BG1OS00715MS050,Phosphate,2000,0.388918,12
CZPP0049,Nitrate,2000,17.95,2
FRBSS001CQJZ,Nitrate,2000,35.44,5
PL01S0701_1077,Nitrate,2000,2.662611,12
HU101179480,Ammonium,2000,0.235454,23
FRCR02081000,Total phosphorus,2000,0.3297,11
FRHR03023000,BOD5,2000,3.0667,12
PL02S1301_1134,Ammonium,2000,1.250023,24
CZVB9803,Ammonium,2000,0.05,2
SE615375-137087,Nitrate,2000,0.61575,4
FRBSS002MQKV,Nitrate,2000,20.7,4
SE662709-160136,Ammonium,2000,0.012742,4
PL02S1301_1203,Nitrate,2000,1.816776,12
FRDR06083000,Nitrite,2000,0.0791,11
FRFR05148000,Nitrate,2000,0.935039,6
FRBSS002CQYD,Nitrate,2000,1.0,1
LVV0270200,Total phosphorus,2000,0.037,12
FRHR03013660,Ammonium,2000,0.041774,11
CZVP7225,Ammonium,2000,0.32,2
FRDR06143950,Nitrate,2000,0.425918,12
PL01S1101_1521,BOD5,2000,4.0667,12
DESM_BWU44,Nitrate,2000,4.467806,21
BERW_04800,BOD5,2000,1.0,13
DESM_DEST_2110020_A,Ammonium,2000,0.159901,26
DEGM_35396735,Nitrate,2000,0.5,2
FISW_757,Phosphate,2000,0.002,4
PL01S1101_1537,Nitrate,2000,1.285053,12
SE700773-157350,Total phosphorus,2000,0.009667,12
FRBSS000MMXR,Nitrate,2000,0.5,5
ATPG30600022,Nitrite,2000,0.005,1
PL08S0301_0139,Nitrate,2000,1.770474,24
BG1RL00001MS020,Phosphate,2000,0.189406,11
HU101178405,Phosphate,2000,0.0422,25
ES050ESPF10105,BOD5,2000,2.00318,11
FISW_719,Nitrate,2000,0.454019,2
LVD4060100,Ammonium,2000,0.089944,12
FRBSS000HSWW,Nitrate,2000,41.016667,6
CYR9-2-3-85,Nitrate,2000,5.421505,1
CZPP0744,Nitrite,2000,0.005,2
ATPG32100342,Ammonium,2000,0.01,1
ATFW73190967,Total organic carbon (TOC),2000,0.53,12
DEGM_39320023,Ammonium,2000,0.5,1
BERWE030_4527002,Nitrate,2000,1.0,1
BEVL_VMM_768000,Nitrate,2000,5.970248,12
CZPP0056,Ammonium,2000,0.05,2
DEGM_DETH_5437000083,Nitrate,2000,1.0,1
ES050ESPF10502,Nitrate,2000,1.770614,2
ES050ESPF20602,BOD5,2000,5.07,3
LVL1430100,Total phosphorus,2000,0.063,12
BG1YN00079MS200,BOD5,2000,4.155,11
NO021-41609,Total organic carbon (TOC),2000,2.3,1
ATPG90300012,Nitrate,2000,78.7775,1
FRFR05233000,Phosphate,2000,0.0442,2
SE711900-175034,Ammonium,2000,0.019654,12
ATPG10003042,Nitrate,2000,17.8,1
ATPG41808012,Nitrate,2000,15.375,1
FISW_37,Chlorophyll a,2000,0.75,2
DEGM_BB_38413470,Nitrate,2000,19.525,2
FRBSS000EENT,Ammonium,2000,0.05,3
PL07S0801_0071,Total phosphorus,2000,0.053,26
ATPG32300092,Nitrite,2000,0.2285,1
LVG2150100,Ammonium,2000,0.069956,12
SE708619-162132,Secchi depth,2000,2.05,6
FISW_806,Ammonium,2000,0.008295,4
ES020ESPF004300033,Ammonium,2000,3.632991,14
PL03S1601_0001,Nitrate,2000,0.913338,24
FISW_947,BOD5,2000,0.895258,13
ES080ESPFES080-JU111,BOD5,2000,50.0833,12
ATPG30800772,Ammonium,2000,0.01,1
ES030ESPFTA53405001,Ammonium,2000,0.549558,4
LVV0180200,Phosphate,2000,0.033,6
ATFW21531177,Nitrate,2000,0.48202,12
FRBSS001SEGN,Nitrate,2000,4.6,1
PL02S0101_0526,Nitrate,2000,2.030884,26
ES050ESPF10705,Nitrate,2000,4.071619,4
DEGM_DEMV_23510001,Nitrate,2000,1.1825,2
ATPG70332042,Nitrate,2000,15.85,1
ES030ESPFTA64812003,Nitrate,2000,0.235776,6
FRFR05183900,Nitrate,2000,0.312413,11
SKH189500D,BOD5,2000,1.4583,12
SIV8600,Total organic carbon (TOC),2000,1.65,2
SKIDK040,Total phosphorus,2000,0.02,12
HU101179295,Chlorophyll a,2000,5.9269,26
FRBSS002JXTW,Nitrate,2000,5.3,1
CZVP8219,Nitrate,2000,148.8,2
FISW_1560,Ammonium,2000,0.087945,2
ES030ESPFTA55707011,Nitrite,2000,0.00912,1
FISW_238,Total organic carbon (TOC),2000,16.4,1
NO012-30612,Secchi depth,2000,5.375,8
FRGR04043200,Ammonium,2000,0.191681,9
ATPG31800032,Ammonium,2000,0.017,1
DESM_DEBY_11801,Total organic carbon (TOC),2000,4.5,26
ATPG41021022,Nitrate,2000,12.025,1
ATPG30801102,Ammonium,2000,0.03925,1
FISW_144,Chlorophyll a,2000,10.1,2
ATPG60106042,Ammonium,2000,0.007375,1
DESM_NW101904,Ammonium,2000,0.049969,12
FRDR06109100,Phosphate,2000,0.0256,4
FRDR06206000,Chlorophyll a,2000,7.675,2
PL02S0101_0526,Phosphate,2000,0.0686,26
FRBSS000ZYWS,Nitrate,2000,63.6,2
SE698918-158665,Secchi depth,2000,1.93333,3
IT0552,BOD5,2000,0.908714,10
NO084-38551,Phosphate,2000,0.001,1
ES050ESPF10201,Phosphate,2000,0.041565,4
FRDR06011000,Chlorophyll a,2000,4.0745,5
EESJA9866000,Nitrite,2000,0.003,1
LV180ZUTF4_2254,Nitrate,2000,0.0443,1
CZVB0360,Nitrite,2000,0.041,1
ATPG10002982,Nitrite,2000,0.0105,1
ATPG41217012,Nitrate,2000,17.3,1
FRCR02060750,BOD5,2000,2.6356,2
ES010ESPFMS010FQ,Nitrate,2000,0.625626,8
ESCHC2072,Nitrate,2000,1.254352,2
BG1YN00621MS170,Phosphate,2000,0.02934,12
NL43_243520KRW,Phosphate,2000,0.0475,12
ES020ESPF004300020,Nitrate,2000,0.349615,2
HU101179170,Total organic carbon (TOC),2000,7.575,16
DESM_BWU51,Nitrite,2000,0.022,26
FRBSS000ANMZ,Nitrate,2000,14.666667,3
FISW_532,Phosphate,2000,0.001,2
ATPG80401152,Nitrite,2000,0.01,1
ES030ESBT03-05-042,Nitrate,2000,4.002008,1
CZPMO_1169,Nitrate,2000,3.410142,12
FISW_823,Total organic carbon (TOC),2000,9.5,4
PL01S0801_1343,BOD5,2000,3.4667,24
FRBSS001CLTV,Nitrate,2000,25.3,2
FISW_594,Phosphate,2000,0.008,2
LTR82,Chlorophyll a,2000,1.71,1
FRBSS000EEHP,Ammonium,2000,0.05,1
HU101178210,Nitrite,2000,0.0243,26
FRDR06142687,Phosphate,2000,0.0355,2
DEGM_DESN_52406001,Nitrate,2000,49.5,2
SIP58120,Nitrite,2000,0.004,2
FRFR05131000,Chlorophyll a,2000,7.5686,7
BERWM141_4352004,Nitrate,2000,44.7,1
ES020ESPF004300221,Ammonium,2000,0.033779,12
FISW_742,Chlorophyll a,2000,6.0286,7
ATFW61300337,BOD5,2000,1.636,11
FRBSS001RHWB,Nitrate,2000,10.95,4
CZVP7218,Nitrite,2000,0.004,2
FISW_743,Phosphate,2000,0.0034,14
DESM_DEBE_430,Ammonium,2000,0.242849,13
ATFW71500967,Total organic carbon (TOC),2000,0.386,12
FRFR05117000,Total phosphorus,2000,0.1263,11
ES040ESPF000400699,Nitrate,2000,2.530105,12
FRFR05191000,Nitrite,2000,0.0073,11
ATPG60624372,Nitrate,2000,19.6,1
IT05113,Ammonium,2000,0.161389,12
SE704955-159090,Total organic carbon (TOC),2000,10.1,4
FISW_777,Ammonium,2000,0.006596,12
