monitoringSiteIdentifier,eeaIndicator,phenomenonTimeReferenceYear,resultMeanValue,resultNumberOfSamples
CZPVL_1088,Chlorophyll a,2013,35.15,12
ATPG20201192,Nitrite,2013,0.0066,3
EL04120401,Nitrite,2013,0.229915,1
SKS000965,Nitrate,2013,4.115,2
ATPG54100342,Nitrate,2013,28.866667,3
ATKK40916012,Phosphate,2013,0.002167,3
FRGR04015300,BOD5,2013,0.983333,6
CZVP7303,Phosphate,2013,0.039136,1
EL05010508,Nitrate,2013,14.60844,2
FRFR05225100,Dissolved organic carbon (DOC),2013,4.733333,6
EL0816R000200053N100,Phosphate,2013,0.136708,3
BG2KA00119MS001,Total phosphorus,2013,0.1895,4
CHRW-1912,Total phosphorus,2013,0.026333,12
SIP06302,Nitrite,2013,0.007,2
FRGR04146600,Total phosphorus,2013,0.113167,6
FRBSS000RZYN,Total phosphorus,2013,0.01375,4
FRHR03039000,Nitrate,2013,6.003964,48
CZPP0872,Phosphate,2013,0.020873,1
SIP38240,Phosphate,2013,0.01,2
FRDR06177980,Chlorophyll a,2013,1.875,4
FRBSS000SHEX,Total phosphorus,2013,0.02,1
SKS003143,Nitrate,2013,2.575,2
CHRW-4070,Phosphate,2013,0.00675,12
ESLEX036,Phosphate,2013,0.1,10
FRBSS001FXPW,Total organic carbon (TOC),2013,1.533333,3
EL09060904,Nitrite,2013,0.547417,3
EL09110901,Nitrate,2013,24.247797,4
FRDR06045750,Phosphate,2013,0.0114,5
FRGR04175100,Nitrite,2013,0.014969,12
PL02S0401_0643,BOD5,2013,2.0125,8
FRFR05120010,Dissolved organic carbon (DOC),2013,3.236667,12
PL01S0701_1119,Total organic carbon (TOC),2013,12.805833,12
FRBSS002BMCR,Total organic carbon (TOC),2013,0.61,2
ES063ESPFAA0000810,Nitrite,2013,0.0341,2
FRDR06468000,Phosphate,2013,0.016333,6
ES030ESPFTA57311002,Nitrate,2013,0.56474,4
FRDR06150795,Phosphate,2013,0.006917,6
SKS001094,Ammonium,2013,0.2,1
CZVP8313,Dissolved organic carbon (DOC),2013,4.75,1
SKIDK181,Total organic carbon (TOC),2013,3.841667,12
FRDR06580766,BOD5,2013,0.933333,6
FRBSS002BQYX,Total phosphorus,2013,0.023,3
ATPG53100062,Nitrite,2013,0.002167,3
IEMLWE_31_171_0020_OP,Total phosphorus,2013,0.01,12
FRGR04045900,Nitrate,2013,1.838911,24
CZVP7513,Dissolved organic carbon (DOC),2013,0.92,1
FRBSS000EPQL,Total organic carbon (TOC),2013,0.75,2
FRBSS001RKEH,Phosphate,2013,0.005,2
FRBSS000YHMS,Total organic carbon (TOC),2013,0.6,2
FRBSS001WDRG,Ammonium,2013,0.01,1
ESCHC2061,Nitrate,2013,0.677688,3
CZPO3501,Ammonium,2013,0.05,1
LTGWM426_12641,Ammonium,2013,0.309,1
LTL441,Phosphate,2013,0.00265,4
FRDR06113000,Nitrite,2013,0.015731,6
FRDR06580184,Phosphate,2013,0.012167,6
FRBSS001AQRE,Nitrite,2013,0.015,3
ATKK53100442,Nitrate,2013,1.156667,3
PLGW6000110_004,Nitrite,2013,0.02,2
CZPLA_23,Dissolved organic carbon (DOC),2013,3.09167,12
RO133600,Total organic carbon (TOC),2013,4.195,4
FRGR04065000,Dissolved organic carbon (DOC),2013,5.066667,12
FRGR04124875,Ammonium,2013,0.037503,6
RSRW00001,Ammonium,2013,0.045585,12
LTR175,Nitrate,2013,1.010875,12
BG3G00PRQPHMP009,Ammonium,2013,0.24875,4
ATPG53100662,Phosphate,2013,0.0065,3
NO026-41194,Ammonium,2013,0.016294,3
FRBSS000WQUR,Nitrite,2013,0.05,7
FRBSS001NLEZ,Nitrate,2013,68.5,2
BG1OS00715MS050,Phosphate,2013,0.11,4
FRHR03254370,Phosphate,2013,0.03675,12
ES100ESPF140003000,Ammonium,2013,0.168374,6
ATPG41229012,Nitrite,2013,0.003,3
FRGR04123800,Total phosphorus,2013,0.067167,12
CZPP0049,Nitrate,2013,13.0,1
SKS000321,Nitrite,2013,0.01,2
PL02S1401_2275,Total organic carbon (TOC),2013,3.7,8
FRFR05090000,Nitrate,2013,2.267887,24
FRHR03175000,Nitrate,2013,5.321312,24
FRBSS001CQJZ,Nitrate,2013,29.1,8
FRBSS000XWRQ,Nitrate,2013,33.375,4
BERW_04313,BOD5,2013,1.2,13
PLGW600079_002,Ammonium,2013,0.16,2
FRBSS000TEDG,Ammonium,2013,0.05,4
FRBSS000RJGV,Phosphate,2013,0.003,1
PLGW600080_002,Nitrate,2013,0.165,2
ES020ESPF004300162,Phosphate,2013,0.332,3
CZVP7026,Nitrite,2013,0.005,1
FRDR06175600,Ammonium,2013,0.038796,6
FRAR01104000,Dissolved organic carbon (DOC),2013,3.5625,20
ATKK72420032,Nitrite,2013,0.006,3
SE660500-152300,Total phosphorus,2013,0.001,1
FRBSS001PWAR,Ammonium,2013,0.07125,4
FRBSS002EQQM,Nitrate,2013,1.6,5
SKS006033,Nitrate,2013,29.05,4
FRGR04128490,BOD5,2013,2.616667,12
ES030ESPFTA68408001,Ammonium,2013,0.174581,7
HR31055G,Ammonium,2013,0.020393,6
ATPG61520052,Ammonium,2013,0.01,3
FRCR02081000,Total phosphorus,2013,0.156667,12
LV902A8_24551,Nitrite,2013,0.0023,1
BERWM023_5917005,Total organic carbon (TOC),2013,0.5,2
FRHR03023000,BOD5,2013,1.541667,12
ESOKOKA-R02,BOD5,2013,2.0,4
CHRW-3006,Nitrite,2013,0.016086,12
IEMLWE_35_158_0060_OP,Secchi depth,2013,1.675,4
PLGW2000135_004,Nitrate,2013,0.33,2
ATPG41747022,Phosphate,2013,0.005867,3
PT07H04,Total phosphorus,2013,0.1,3
FRGR04196449,Ammonium,2013,0.060133,12
IESE_G_0146_3800_0004,Nitrate,2013,38.086,2
FRDR06143650,Dissolved organic carbon (DOC),2013,0.333333,6
FRFR05218700,Total phosphorus,2013,0.01,6
CZVB9803,Ammonium,2013,0.05,1
ATPG41606012,Nitrite,2013,0.0055,4
PL01S0301_0950,Total organic carbon (TOC),2013,8.27,8
FRBSS002MQKV,Nitrate,2013,35.85,2
RO125312354050,Nitrite,2013,0.02,2
NL13_RO017,Chlorophyll a,2013,46.2,5
SKP002357,Nitrite,2013,0.01,4
ES100ESPF110021000,Total organic carbon (TOC),2013,2.667,6
FRDR06198100,Chlorophyll a,2013,1.625,4
ES010ESPFMS111FQ,Nitrate,2013,3.38844,4
FRBSS001PJNW,Ammonium,2013,0.05,4
RO035225545952,Nitrate,2013,9.925,2
FRBSS000JBHY,Nitrite,2013,0.01,4
