monitoringSiteIdentifier,eeaIndicator,phenomenonTimeReferenceYear,resultMeanValue,resultNumberOfSamples
ATPG54100342,Nitrate,2004,17.5,1
FRGR04015300,BOD5,2004,1.32222,9
HU101178472,Ammonium,2004,0.495077,26
RO43600,Nitrite,2004,0.038,12
DEGM_DENW_023061870,Nitrite,2004,0.0984,2
FISW_41,Secchi depth,2004,4.4,2
SIP38240,Phosphate,2004,0.005,2
FRDR06177980,Chlorophyll a,2004,3.73333,3
RSLW00042,Nitrite,2004,0.006,1
ITI027TG11,Phosphate,2004,0.08,12
ATFW61400287,Nitrate,2004,2.438991,9
DEGM_DEBW_133-254-6,Nitrite,2004,0.01,6
ATPG53100062,Nitrite,2004,0.006,1
IT1313SC,Chlorophyll a,2004,12.0,2
FRDR06113000,Nitrite,2004,0.025731,11
RSRW00001,Ammonium,2004,0.119093,12
NO026-41194,Ammonium,2004,0.011639,1
DEGM_DENW_080300364,Ammonium,2004,3.0616,3
IT05217,Phosphate,2004,0.023333,12
FRBSS000WQUR,Nitrite,2004,6.4,1
FRBSS001NLEZ,Nitrate,2004,67.666667,3
BG1OS00715MS050,Phosphate,2004,0.209618,12
CZPP0049,Nitrate,2004,15.95,2
FRBSS001CQJZ,Nitrate,2004,28.066667,3
SKN410510D,Phosphate,2004,0.9204,12
IT03POADSALN1LO1,Total phosphorus,2004,0.0865,2
FRDR06175600,Ammonium,2004,0.081616,4
HU101179480,Ammonium,2004,0.199876,24
FRBSS002EQQM,Nitrate,2004,1.525,4
FRCR02081000,Total phosphorus,2004,0.385,12
FRHR03023000,BOD5,2004,2.75,12
PL02S1301_1134,Ammonium,2004,0.672582,13
CZVB9803,Ammonium,2004,0.01,2
SE615375-137087,Nitrate,2004,0.3,4
FRBSS002MQKV,Nitrate,2004,24.4,2
SE662709-160136,Ammonium,2004,0.042773,6
PL02S1301_1203,Nitrate,2004,1.698071,11
FRBSS001PJNW,Ammonium,2004,0.01,1
RSLW00067,Phosphate,2004,0.0025,1
FRDR06083000,Nitrite,2004,0.067718,12
IT11I0286TR,Total phosphorus,2004,0.175454,11
FRFR05148000,Nitrate,2004,1.166719,6
ATFW52120147,Nitrate,2004,0.510854,12
FRBSS002CQYD,Nitrate,2004,0.6,2
LVV0270200,Total phosphorus,2004,0.058333,12
CZVP7225,Ammonium,2004,0.2895,2
FRHR03013660,Ammonium,2004,0.027205,8
FRDR06143950,Nitrate,2004,0.462922,12
DESM_BWU44,Nitrate,2004,4.477106,26
BERW_04800,BOD5,2004,1.0,10
DESM_DEST_2110020_A,Ammonium,2004,0.1609,13
FISW_757,Phosphate,2004,0.0018,4
PL01S1101_1537,Nitrate,2004,0.754577,11
BG2G000000QMP008,Ammonium,2004,0.409,1
LVE2010100,BOD5,2004,2.225,4
DEGM_DEBY_1131593100020,Nitrite,2004,0.02,2
PT365T470,Ammonium,2004,0.02,1
FRBSS001VEAV,Nitrate,2004,9.9,1
RSLW00031,Phosphate,2004,0.05976,1
SE700773-157350,Total phosphorus,2004,0.007,12
FRBSS000MMXR,Nitrate,2004,2.5,3
ATPG30600022,Nitrite,2004,0.005,1
BG1RL00001MS020,Phosphate,2004,0.321762,12
HU101178405,Phosphate,2004,0.115192,26
LV007PIUA8_3,Nitrate,2004,0.0222,1
ES050ESPF10105,BOD5,2004,1.77167,12
FISW_719,Nitrate,2004,0.390016,2
FRBSS001TMNT,Nitrate,2004,7.2,1
EESJA3486000,Ammonium,2004,0.33,1
IT01001197,Nitrate,2004,3.297637,12
LVD4060100,Ammonium,2004,0.096607,12
CZPOD_1144,Ammonium,2004,0.189082,12
FRBSS000HSWW,Nitrate,2004,44.0,5
CZPP0744,Nitrite,2004,0.00525,2
DEGM_DERP_2714215300,Nitrite,2004,0.015,2
ATPG32100342,Ammonium,2004,0.01,1
ATFW73190967,Total organic carbon (TOC),2004,0.809167,12
BEVL_VMM_768000,Nitrate,2004,4.733527,12
IT09S1233,BOD5,2004,2.2333,11
CZPP0056,Ammonium,2004,0.01,2
FRBSS000XMVZ,Nitrite,2004,0.02,1
ES050ESPF20602,BOD5,2004,0.7325,4
LVL1430100,Total phosphorus,2004,0.087167,12
BG1YN00079MS200,BOD5,2004,3.858,12
NO021-41609,Total organic carbon (TOC),2004,3.0,1
ATPG90300012,Nitrate,2004,63.35,1
FRFR05233000,Phosphate,2004,0.015908,12
SE711900-175034,Ammonium,2004,0.044972,12
FRBSS001RQXX,Nitrate,2004,0.5,2
ATPG10003042,Nitrate,2004,6.15,1
ATPG41808012,Nitrate,2004,13.575,1
ATFW40823016,BOD5,2004,0.65,12
DEGM_BB_38413470,Nitrate,2004,43.58,2
HR40420,Nitrate,2004,0.399217,12
PL07S0801_0071,Total phosphorus,2004,0.036,12
ATFW80211037,Ammonium,2004,0.011893,12
ATPG32300092,Nitrite,2004,0.196625,1
FRBSS001NUKX,Ammonium,2004,0.01,1
PL01S1501_1771,Total phosphorus,2004,2.475,12
LVG2150100,Ammonium,2004,0.049369,10
